,user,item,rating
71241,500,2571,1.0
89970,597,2288,3.0
36876,265,1250,4.0
57359,416,3,4.0
17485,117,3147,5.0
5004,28,1296,5.0
5614,30,2917,5.0
4583,23,6591,4.0
32626,235,8970,4.5
73350,510,2863,5.0
90007,597,2770,4.0
65587,466,3108,5.0
63251,457,2710,2.0
47058,345,4993,4.0
59182,428,61348,0.5
9528,64,380,4.0
5597,30,2805,4.0
32996,239,104,4.0
66387,468,4310,1.5
51914,380,58156,2.0
99924,671,1259,4.0
52508,382,7451,3.0
35235,253,344,4.0
49167,358,2266,2.0
19022,128,45,5.0
33099,239,1593,2.0
13636,88,2100,3.5
8074,52,1969,0.5
57331,414,5834,3.0
50231,369,165,3.0
42526,306,500,4.0
34060,243,1374,3.5
84297,564,2988,5.0
60375,438,106766,4.0
24627,177,1136,5.0
72749,509,2144,3.0
53257,385,442,3.0
78526,547,461,1.0
81876,558,4345,4.0
39995,292,3911,4.0
22057,152,7361,4.0
98094,655,1080,3.0
3046,17,31410,5.0
42182,303,2997,4.5
33357,240,1391,4.0
50906,377,934,3.0
82362,561,7373,4.0
91754,607,7317,4.0
78988,547,2268,3.0
53920,388,1485,4.0
37315,268,3256,3.0
52582,382,59258,3.5
20144,134,1240,5.0
79372,547,3897,4.5
13109,84,4995,4.5
25856,189,673,1.0
79704,547,6027,3.0
74106,518,237,3.0
75468,523,4006,4.5
37639,270,93510,3.0
79502,547,4503,2.0
79005,547,2336,4.0
15751,102,2186,5.0
55544,402,2335,4.5
39922,292,1947,5.0
32292,232,3422,3.0
4588,23,6643,4.5
83918,564,2215,4.0
37151,268,858,4.5
40805,294,4941,1.5
46963,345,1292,3.5
7312,46,2539,5.0
34184,243,3997,0.5
77930,542,7064,2.0
89275,595,2018,4.0
78700,547,1179,4.5
33812,242,2112,5.0
21637,150,2490,3.5
2164,15,35957,2.5
14279,93,5299,3.5
23877,169,2422,3.5
89704,596,5989,4.5
20525,138,780,0.5
23820,168,505,2.0
32926,238,8464,2.0
54397,388,7361,4.0
82563,562,2858,4.0
52103,380,88812,3.0
93832,624,2012,4.0
65522,466,2140,2.0
76128,529,1234,3.0
59767,431,7438,4.5
10659,73,2459,4.5
61900,452,2064,4.0
89665,596,4967,3.5
59534,431,41,5.0
1925,15,5445,5.0
24680,177,1620,4.0
75074,521,50,4.5
20803,142,4835,2.0
81055,550,1589,3.0
46815,344,1036,3.0
36424,262,8983,2.0
13209,85,203,3.0
54322,388,5417,4.0
47312,346,4133,5.0
62433,452,4737,3.5
1898,15,5266,1.0
26641,195,3107,3.0
6219,33,2145,4.0
46990,345,2076,3.5
43452,311,434,3.0
70224,486,62434,3.0
68385,475,7439,1.0
40523,294,2431,3.5
78635,547,969,5.0
64161,461,355,1.0
97213,652,2468,4.0
40962,294,7060,3.5
81377,553,68319,4.5
4259,23,1907,3.5
98967,664,6059,4.0
4484,23,4447,3.5
66306,468,3551,3.5
67807,472,3167,5.0
55457,401,1580,5.0
33787,242,1952,5.0
73822,514,1389,2.0
11934,75,1376,0.5
16354,105,1238,4.0
5119,30,424,4.0
95987,636,562,4.0
25571,187,2997,2.5
68391,475,8361,2.5
8042,51,2605,5.0
1554,15,2985,3.0
40609,294,3079,3.5
18097,119,2132,4.0
81144,551,416,3.0
74654,518,2574,3.0
18197,119,2739,4.0
9517,64,165,3.0
55689,402,59315,4.5
52256,381,1603,1.0
37197,268,1234,4.5
57122,412,2700,5.0
46118,333,43396,3.5
94816,624,86332,2.5
93735,624,1291,4.0
56088,405,3379,4.5
95719,628,3068,2.5
52019,380,75985,3.0
42059,303,500,2.5
38547,282,3098,3.5
44563,312,2105,4.0
58530,426,2355,3.5
58320,423,27773,5.0
20972,146,457,4.0
27797,201,8970,4.0
9505,63,4993,5.0
76621,530,673,1.0
83563,564,1483,5.0
67172,471,3821,3.5
11061,73,6534,0.5
52602,382,73290,3.0
80798,547,139644,2.5
25321,185,2359,3.0
51138,379,30707,3.5
15983,102,3546,5.0
85324,574,1573,3.5
73880,516,44,3.0
77785,537,1408,3.0
76905,533,1203,4.0
54870,394,165,4.0
35059,251,367,4.0
55234,397,637,2.5
90147,598,2713,2.0
78868,547,1732,5.0
78835,547,1580,2.0
42430,306,135,1.0
3052,17,33683,2.0
39230,285,3471,3.0
44824,313,5014,4.5
44290,311,8337,4.0
95218,624,133365,2.0
20072,134,231,2.5
28065,205,54286,2.5
48833,358,471,5.0
86812,580,1920,1.0
78186,544,46723,4.0
36238,262,4025,2.0
91859,608,850,5.0
80417,547,64575,3.0
72456,509,858,5.0
47144,346,1009,3.0
54055,388,2372,3.0
46517,342,904,5.0
64951,463,1302,3.0
28164,206,1258,3.0
24382,176,7099,4.0
11135,73,7419,4.0
26628,195,3061,3.0
48480,355,1259,4.0
41967,300,2617,4.0
40119,293,2248,4.5
87222,580,8983,2.0
11459,73,62434,3.5
1941,15,5528,1.0
51362,380,2395,4.0
75362,522,101531,2.0
4991,28,926,5.0
25557,187,2572,4.0
54515,389,381,2.0
54399,388,7438,2.0
28579,212,1282,4.0
76603,530,185,3.0
69202,480,2054,4.5
18834,125,3160,5.0
82886,564,103,5.0
68823,475,112623,4.0
85664,575,920,4.0
20290,134,5782,5.0
76247,529,2406,4.0
31662,232,224,5.0
56433,407,1407,3.0
41699,299,3253,4.5
55314,398,2140,4.0
78246,544,89470,5.0
5312,30,1333,5.0
50884,376,3549,4.0
21041,147,934,4.0
60055,433,91529,0.5
27709,201,593,4.0
27509,200,3825,2.5
17476,117,1958,4.0
23018,163,19,0.5
28476,212,552,2.5
78713,547,1198,2.0
70961,496,474,4.0
33530,241,261,3.0
41470,297,47518,2.0
60083,434,156,2.0
96752,648,364,2.0
71474,501,5952,4.0
91636,607,2926,0.5
66824,468,52666,2.5
9289,61,5618,5.0
65065,463,2369,2.0
10542,73,1862,1.0
58033,422,2841,3.0
43236,309,1704,4.5
27443,200,500,4.0
98634,661,1103,4.5
24798,178,2028,4.0
73307,510,1689,3.0
23069,163,6059,0.5
34176,243,3755,2.0
18383,120,1307,3.0
17655,118,2968,4.0
79465,547,4310,0.5
7160,43,589,3.0
25809,188,543,4.0
1738,15,3990,1.0
7656,48,56782,3.5
26379,195,1093,4.0
50862,376,1230,4.0
62904,455,1060,2.5
51771,380,33162,3.5
44122,311,5060,2.0
32128,232,2533,2.0
201,4,1136,5.0
93424,622,58559,5.0
17164,111,2716,4.5
27070,199,1587,4.0
41556,298,101864,4.0
85325,574,1580,3.5
64706,461,5617,3.5
83990,564,2366,4.0
77128,534,590,5.0
61023,442,60487,4.0
19224,128,3553,4.0
55796,402,122904,4.5
64560,461,3203,3.5
36350,262,6290,2.0
78293,545,608,5.0
25696,187,40815,3.5
22805,160,454,4.0
90888,605,216,3.0
26738,195,3929,3.0
56104,405,3639,4.0
49227,358,2518,4.0
27636,200,64716,4.5
96467,646,1025,5.0
40356,294,1271,3.0
53251,385,410,3.0
40176,294,163,4.0
52618,382,88125,4.0
82940,564,196,4.0
98143,655,5303,4.0
25961,189,2997,4.0
99541,665,3034,5.0
15555,102,1228,5.0
39737,291,1343,4.5
34271,244,110,3.5
8766,56,134170,2.0
63273,457,2918,4.0
54772,391,1301,5.0
765,10,1423,4.0
50946,378,1258,4.0
71679,502,1221,3.0
29010,212,6942,2.5
49411,359,30707,3.0
91892,608,1214,4.0
12675,80,10,3.0
47551,350,1210,5.0
37594,270,61132,3.0
70693,493,852,1.0
22926,161,224,3.0
75703,526,4226,4.0
85173,572,59784,3.5
44297,311,8493,2.5
21690,150,3408,2.5
12581,78,33493,5.0
32008,232,2012,3.0
36022,262,588,2.0
60262,435,1175,4.0
24137,175,48,3.0
78439,547,16,4.0
51681,380,7153,3.5
10861,73,4015,2.5
44036,311,3791,4.5
80364,547,55895,3.5
41816,299,26231,5.0
7132,42,87232,4.0
23264,165,671,3.5
43042,306,4022,4.0
56012,405,2401,3.5
44463,312,1046,5.0
1375,15,1950,3.0
90880,605,125,2.0
1393,15,2012,1.0
92784,615,57640,3.5
70344,487,344,3.0
34104,243,2107,3.0
60621,439,5500,3.0
76487,529,7139,4.5
20409,136,2422,3.0
1317,15,1625,4.0
14652,95,2459,5.0
38057,275,6953,1.5
41096,294,42738,4.0
25307,185,2094,3.0
15290,100,708,3.0
49161,358,2253,1.0
99513,665,2710,3.0
26288,195,95,3.0
86613,580,741,3.5
17472,117,1704,4.5
6733,38,8656,4.5
95893,632,68157,4.5
28763,212,2959,5.0
48195,353,7293,3.0
46437,340,2542,5.0
20303,134,6874,5.0
5811,30,4037,5.0
47634,350,3946,3.0
65569,466,2746,5.0
1549,15,2952,1.0
37684,270,112552,4.5
55031,394,32464,3.0
65284,463,5377,4.0
87029,580,3897,4.0
18576,122,272,4.0
52505,382,7320,3.0
80800,547,140247,4.0
59190,428,72998,2.5
70791,494,1276,5.0
95700,628,1262,3.0
12452,78,2231,4.5
93536,624,2,3.0
95076,624,109317,2.5
64251,461,999,1.5
59709,431,3996,4.5
20518,138,50,4.0
79199,547,3108,5.0
61514,452,318,5.0
97829,654,3114,5.0
15243,99,3174,2.0
85543,574,56152,3.5
8344,56,1256,4.0
284,4,2110,3.0
21966,152,1193,3.0
74864,519,30810,4.0
74455,518,1888,4.0
37448,268,85397,1.0
53568,387,2243,4.0
39844,292,454,4.0
23531,165,5531,2.5
7813,48,95167,5.0
8137,53,420,3.0
27761,201,5952,5.0
22813,160,597,5.0
63016,457,223,3.5
41728,299,4500,4.5
74094,518,203,4.0
92086,609,117,1.0
36057,262,1209,3.5
57365,416,22,4.0
85220,573,2390,3.0
79990,547,8420,4.0
40895,294,6254,4.0
44092,311,4478,3.0
80515,547,80463,4.0
46478,341,5527,4.0
86992,580,3340,3.5
60599,439,4956,3.0
28911,212,4887,3.0
55640,402,31658,4.0
22399,157,2762,4.0
69539,481,1354,4.0
22545,157,59369,4.0
58361,423,62155,2.5
29619,213,4366,4.0
63864,460,1060,4.5
33629,242,481,2.0
15304,101,315,2.0
5579,30,2746,4.0
45088,316,6942,3.5
22920,161,165,3.0
99482,665,2340,4.0
21882,151,356,5.0
32411,234,2959,5.0
47507,349,880,3.0
69637,481,4973,5.0
65884,468,1209,3.5
11622,73,89085,4.5
21417,149,112138,4.0
22594,157,85510,0.5
95055,624,106839,3.5
85294,574,1092,3.5
36840,265,969,5.0
95904,633,292,3.0
72485,509,1041,3.0
78658,547,1050,2.5
98613,660,109487,4.5
59608,431,1250,3.0
62601,452,6436,3.5
39007,285,1388,3.0
79221,547,3183,2.0
56304,406,1207,4.0
42107,303,1220,4.0
42579,306,904,5.0
8106,52,6807,5.0
96259,641,705,4.0
56417,407,1177,4.0
61480,452,203,3.0
98363,658,1358,5.0
76620,530,661,5.0
73763,514,1252,4.0
76126,529,1230,5.0
23289,165,1198,4.0
60383,439,125,3.0
72567,509,1259,4.0
14058,92,160,2.0
40404,294,1678,4.0
90207,598,3386,4.0
77766,537,1305,5.0
26781,196,2424,4.0
1527,15,2769,2.0
68953,478,6373,4.5
56566,407,3747,3.0
76197,529,1955,4.0
71232,500,2150,4.0
56424,407,1279,3.0
39570,288,208,4.0
44146,311,6059,3.0
6657,37,4069,4.0
64188,461,494,2.0
5525,30,2433,4.0
76442,529,6031,3.0
45472,324,111,3.5
99695,666,10,3.0
58478,425,6377,5.0
51224,380,832,4.0
80250,547,44199,4.0
91259,605,3684,2.0
35682,255,45447,2.5
24272,176,480,2.5
36912,265,1957,4.0
72750,509,2145,2.0
75451,523,2617,3.5
92844,615,84152,4.0
97659,654,1580,4.5
14369,94,1726,2.0
20396,136,780,4.0
79098,547,2750,3.0
26269,194,454,3.0
43332,311,7,3.0
57161,412,3452,3.0
52400,382,2087,4.0
6862,40,99114,4.0
72772,509,2318,4.5
80840,548,45,3.0
1896,15,5225,1.5
81711,558,1221,5.0
45640,326,919,4.0
76964,533,2454,4.0
39357,287,2355,5.0
59016,427,103624,4.5
48521,355,2353,2.5
78194,544,52328,4.0
35830,257,84187,4.0
22431,157,4963,4.0
42218,303,5902,4.0
10164,72,58559,3.5
19486,130,1249,4.0
29136,212,41997,3.0
52623,382,91653,4.0
76828,532,2268,3.5
68856,475,148626,5.0
73918,516,249,3.0
56182,405,4994,3.5
74159,518,442,3.0
70713,493,1408,2.0
62395,452,4326,4.0
63803,460,94,2.5
98777,664,597,3.0
19808,132,3996,4.0
81785,558,3298,4.0
95949,635,50,3.0
27193,199,8790,3.0
45605,324,92259,2.5
39331,287,1252,4.5
70287,487,104,3.0
66305,468,3527,2.5
78608,547,919,5.0
16663,105,5816,3.0
36012,262,367,2.0
42018,302,420,3.0
3322,19,800,3.0
28111,205,68954,4.0
97762,654,2617,4.0
69199,480,2001,3.0
3840,22,1263,3.0
42606,306,1031,3.0
34526,247,296,3.0
1902,15,5291,3.5
69949,482,2638,3.0
53612,387,3095,5.0
39546,287,160563,4.0
43300,309,8874,4.0
82737,563,48394,4.0
69414,480,60074,3.5
67446,472,1209,4.0
6193,33,1197,4.0
86080,575,4804,3.0
1781,15,4210,4.5
7957,49,2662,4.0
55907,405,904,5.0
18635,124,2,3.0
81238,552,718,2.0
17752,119,353,3.0
58276,423,5690,3.5
55017,394,26009,0.5
98549,660,5952,4.0
21904,151,587,5.0
96975,648,73101,4.0
25591,187,3707,3.0
91540,607,1500,4.5
37118,268,442,3.0
81959,559,1247,5.0
35790,257,5690,4.0
20146,134,1246,3.5
26782,196,2474,4.0
68705,475,90746,3.5
35454,254,194,4.0
2562,15,113378,0.5
19972,133,46723,1.0
94325,624,5414,2.0
15165,99,1247,3.0
56862,408,2195,5.0
8358,56,1358,4.0
41086,294,37729,3.5
41463,297,25771,4.0
74084,518,158,4.0
41509,298,1682,4.0
56389,407,345,5.0
57064,412,1569,4.0
4970,27,2396,2.0
32584,235,3916,4.5
15170,99,1304,5.0
88405,587,3039,3.5
64672,461,4720,3.5
7171,43,1544,2.0
26075,190,3160,5.0
28224,207,27478,5.0
43758,311,1453,0.5
94594,624,49272,4.5
52919,384,5093,2.5
44522,312,1580,2.0
99923,671,1247,4.0
91127,605,2239,3.0
56344,406,41336,4.0
45403,322,912,4.0
96025,637,3489,3.5
58178,423,2186,4.0
81957,559,1234,5.0
97105,650,191,4.0
71882,505,1220,3.0
46622,342,2302,5.0
87729,584,26528,3.0
73402,511,720,5.0
57115,412,2581,3.0
20352,134,79132,4.5
95880,632,2991,4.0
24197,175,2324,4.0
32259,232,3252,4.0
49154,358,2241,2.0
2634,15,145935,3.0
97244,652,3512,4.0
4716,23,40278,3.5
26355,195,930,4.0
96625,647,555,4.0
67234,471,27075,3.0
70852,495,292,5.0
12367,78,185,4.5
30953,220,2329,5.0
45182,317,588,3.0
43325,310,2278,5.0
52663,383,628,4.0
64086,461,17,4.5
20859,143,4979,5.0
81666,557,56176,3.5
49062,358,1707,1.0
39978,292,3176,3.5
93715,624,1220,3.0
84907,570,457,4.0
70675,493,356,3.0
50042,367,2005,2.0
13292,86,1,3.0
97464,654,48,2.0
8866,57,1263,5.0
34984,250,54995,4.0
99848,669,2959,5.0
85553,574,59315,4.0
940,13,81834,4.5
79480,547,4370,3.0
52490,382,6593,3.0
57344,415,316,5.0
73721,514,1150,3.0
45045,316,3827,3.0
1039,15,300,4.0
62391,452,4308,3.0
10031,72,296,4.0
53,2,317,2.0
44804,313,4370,0.5
21189,148,5944,3.5
53153,384,54286,3.5
48482,355,1265,4.0
19405,130,410,2.5
30600,217,3869,5.0
42117,303,1263,4.0
31133,222,1019,4.0
40865,294,5629,4.0
63335,457,3725,3.5
47069,345,6016,4.5
26104,191,457,4.0
94590,624,48385,4.0
91329,606,2186,5.0
86642,580,1022,3.5
21726,150,4149,3.0
83370,564,1120,5.0
55698,402,64614,4.0
74786,519,1193,4.5
14906,97,750,4.0
37502,270,1208,4.0
89108,594,1147,5.0
40405,294,1681,3.0
24570,177,422,5.0
32093,232,2375,2.0
12371,78,260,5.0
44633,313,1,4.0
68992,478,109374,4.5
58023,422,2231,4.0
88057,585,3133,3.0
26701,195,3578,5.0
14121,92,454,2.0
39189,285,2816,2.0
13361,86,261,3.0
18462,120,4226,4.5
70196,486,6188,3.5
63332,457,3697,1.5
40930,294,6618,3.5
51539,380,4247,3.0
96646,647,1079,5.0
91605,607,2407,1.0
49848,364,1210,0.5
84595,564,3732,3.0
77523,537,194,4.0
17447,116,2571,4.0
89546,596,2324,4.5
78726,547,1219,5.0
92910,615,108583,5.0
41282,295,5299,4.0
26755,195,3999,2.0
92979,616,858,4.0
34052,243,1281,5.0
37181,268,1193,3.5
64145,461,288,2.5
79923,547,7615,3.5
41999,301,5308,3.5
19105,128,1210,5.0
63056,457,586,2.5
89939,597,1921,4.0
18992,126,736,3.0
79056,547,2616,0.5
37468,268,88405,3.5
12174,77,2139,4.0
70134,486,480,3.5
66022,468,1909,2.5
48608,355,5418,4.0
30274,214,1525,2.0
83279,564,908,5.0
31639,231,3911,5.0
31739,232,653,4.0
20523,138,480,2.5
69245,480,3967,3.0
7346,47,150,4.0
13202,85,173,4.0
23838,168,590,4.0
85958,575,3360,4.0
80020,547,8636,3.5
58233,423,3441,2.0
80707,547,109374,4.5
70064,483,77561,4.0
67404,472,1077,3.0
34494,246,2916,4.0
26622,195,3019,4.0
88164,586,33493,1.0
58449,425,1208,4.0
68354,475,6383,2.0
67670,472,2425,3.0
31001,220,3083,3.0
94526,624,27831,3.5
27071,199,1590,4.5
83467,564,1297,4.0
53861,388,1221,5.0
43510,311,628,3.0
57094,412,2294,3.0
42470,306,300,4.0
77478,536,427,4.0
253,4,1954,5.0
16713,105,8228,3.5
29620,213,4367,2.5
8845,57,1194,4.0
76194,529,1952,4.0
93477,623,2858,3.5
37257,268,2028,5.0
46919,345,527,4.5
21271,149,3617,2.5
94212,624,4339,4.0
42783,306,1995,2.0
8105,52,6776,3.5
83134,564,532,5.0
84423,564,3324,1.0
58873,427,5902,3.0
38903,285,480,3.0
86560,580,370,2.5
31782,232,952,3.0
26868,197,295,2.0
74080,518,122,3.0
25585,187,3408,4.0
61630,452,923,4.0
18729,125,260,5.0
24777,178,1246,3.5
76667,530,1676,1.0
83429,564,1244,5.0
90091,598,1732,4.0
74399,518,1573,4.0
1158,15,924,5.0
5402,30,1955,4.0
68106,473,2571,5.0
99454,665,2080,4.0
94412,624,6582,2.0
82709,563,4734,4.0
12697,80,661,4.0
58806,427,3535,4.0
56402,407,549,5.0
13613,88,1391,3.0
10000,70,1367,5.0
23979,170,849,1.0
84588,564,3724,5.0
28268,208,48516,4.0
91045,605,1474,2.0
68854,475,142488,5.0
3366,19,1036,4.0
7810,48,93272,2.5
52241,381,848,3.0
47900,353,1073,2.0
77267,534,2571,4.0
85530,574,54259,3.5
28623,212,1721,2.5
73816,514,1376,2.0
39440,287,59615,4.0
97240,652,3418,4.0
84723,566,3177,3.5
56743,408,919,3.0
3189,19,283,3.0
93465,623,2329,4.5
49102,358,2001,3.0
47409,346,8961,4.0
58860,427,5377,3.0
1493,15,2600,3.0
75788,527,1265,4.0
59882,433,380,3.5
92950,616,18,4.0
25049,182,502,3.0
24118,174,186,3.5
97018,649,218,3.0
90003,597,2716,5.0
72964,509,3747,3.0
31048,220,3686,2.0
82726,563,27793,1.5
49207,358,2406,4.0
35847,258,3478,3.0
19963,133,39183,0.5
23462,165,3914,1.0
95544,627,1246,2.5
72410,509,515,4.0
28480,212,588,3.0
38127,275,81845,4.5
95492,627,95,2.0
60913,442,1957,4.5
54009,388,2022,4.5
33844,242,2415,4.0
18289,119,3448,4.0
43070,307,2959,4.5
36291,262,4979,4.0
6919,41,1200,4.0
87,2,586,3.0
28573,212,1265,2.0
95685,628,110,1.5
52127,380,92694,3.5
58907,427,7156,4.5
40333,294,1073,4.0
17628,118,2344,5.0
27773,201,8368,5.0
47212,346,2012,4.0
98093,655,750,5.0
59181,428,60069,4.5
94502,624,8798,3.0
22140,153,546,1.0
9036,58,2180,4.0
65078,463,2411,3.0
58222,423,3198,3.5
43934,311,2763,3.0
71034,497,1288,4.0
61103,445,53000,2.5
25967,189,3113,2.0
10472,73,1367,2.5
71338,500,8529,3.0
91438,607,500,2.5
29362,213,799,3.0
53134,384,51662,3.5
82723,563,8916,2.5
96133,640,788,3.0
22115,152,69844,4.0
42726,306,1581,2.0
29376,213,1028,3.0
55657,402,45447,3.0
62927,456,2571,5.0
45917,330,16,3.0
75963,528,4226,3.0
55377,400,185,1.0
65028,463,2020,4.0
16969,110,648,4.0
84447,564,3402,4.0
26322,195,527,4.0
57352,415,480,5.0
24714,177,2006,4.0
35124,251,53972,4.5
54768,391,1290,4.0
93936,624,2537,3.0
32301,232,3469,5.0
21460,150,174,3.0
92722,615,8636,1.5
78679,547,1096,4.0
2234,15,54503,3.5
97120,651,1198,5.0
76304,529,2971,4.0
19953,133,8464,0.5
78177,544,41997,4.5
77677,537,1061,5.0
85436,574,5507,3.0
68307,475,4886,3.5
89842,597,745,5.0
6500,34,3927,4.0
23709,166,5669,5.0
43252,309,2959,4.5
19315,128,5449,4.0
49301,358,3114,5.0
50635,373,1273,4.0
20545,138,4886,0.5
23549,165,5903,3.5
79586,547,4992,0.5
43640,311,1086,2.5
27817,202,1333,4.0
22947,161,339,3.0
29507,213,2321,3.0
77398,536,150,5.0
22286,156,5103,4.5
557,7,1198,5.0
80852,548,110,5.0
35031,250,88125,4.5
57316,414,4333,3.0
28375,211,1225,5.0
11819,73,156726,3.5
35485,254,333,3.0
46320,339,266,4.0
2600,15,130576,2.0
94408,624,6539,3.5
35091,251,5459,4.5
14899,97,541,4.0
51355,380,2334,4.0
72821,509,2542,4.5
87375,580,68486,4.0
57566,417,5377,5.0
85106,572,3147,4.0
56130,405,4022,4.5
85240,574,104,3.0
986,15,82,5.0
81802,558,3578,5.0
27530,200,4661,2.5
15282,100,86,3.0
21541,150,1370,3.5
64931,463,1213,3.0
87293,580,46322,4.5
17790,119,653,3.0
24257,175,6006,1.0
18852,125,4025,1.0
3221,19,365,3.0
50216,368,3101,3.0
78862,547,1702,3.5
92432,613,2329,5.0
12430,78,1644,4.5
80138,547,26689,2.0
74745,518,3071,5.0
89447,596,1097,3.5
49510,361,805,4.0
80599,547,95583,3.0
24049,171,3039,3.0
39505,287,106487,5.0
45983,330,1639,1.0
37673,270,109374,4.0
8564,56,41566,4.0
46258,338,2,3.0
42003,301,68848,5.0
12663,79,5349,3.0
22092,152,49272,4.0
9169,60,2174,4.0
86782,580,1641,3.0
15517,102,1147,4.0
65708,468,277,3.0
98437,659,230,4.0
92859,615,91485,2.5
1013,15,185,2.0
95147,624,116207,1.5
70139,486,750,5.0
82805,563,106782,4.0
34275,244,457,0.5
13155,84,56174,3.0
30197,214,457,3.0
98276,656,3751,4.0
82459,562,420,3.5
34056,243,1339,4.5
68374,475,6936,1.5
10351,73,631,3.0
23103,164,223,4.5
77418,536,198,5.0
61241,449,185,4.0
72919,509,3266,4.0
75431,523,1569,3.5
57928,421,158,3.0
19507,130,1357,3.5
13377,86,305,3.0
87461,582,34,3.0
54550,390,204,3.0
16438,105,2028,3.0
29829,213,45447,4.0
3662,21,543,3.0
89406,596,535,4.0
46486,342,150,5.0
45210,318,778,4.0
62970,456,45722,4.0
72568,509,1263,5.0
77568,537,417,3.0
61390,451,994,5.0
5483,30,2286,1.0
56360,407,1,4.0
93560,624,158,3.0
46200,335,3155,3.0
63735,458,1221,4.0
12147,77,1584,1.5
65576,466,2916,3.0
67033,470,7943,3.0
91781,607,33679,4.0
47026,345,3189,3.0
51792,380,35836,4.0
11757,73,111921,4.0
40909,294,6377,4.0
36061,262,1223,2.0
62600,452,6428,1.0
57211,412,4069,3.0
11469,73,63876,4.0
28411,212,147,2.0
19472,130,1208,4.5
22550,157,61160,2.5
24071,172,592,3.0
13801,89,2683,5.0
76264,529,2640,3.0
80413,547,63876,4.0
61768,452,1423,4.5
31287,224,233,5.0
18644,124,356,4.0
78132,544,5673,5.0
12395,78,924,2.0
46603,342,1959,4.0
53089,384,44665,4.5
9510,63,6711,5.0
3335,19,913,5.0
97628,654,1358,4.0
19456,130,1092,3.0
3216,19,354,3.0
22611,157,91529,4.0
98869,664,2716,4.0
23070,163,6565,4.5
62557,452,5879,1.0
89111,594,1197,3.0
11025,73,5903,4.0
95943,634,2641,2.0
90598,601,68358,4.0
81512,555,45,3.0
47288,346,3627,5.0
11243,73,31422,1.0
92656,615,3869,3.5
11665,73,95875,3.5
32302,232,3470,5.0
72679,509,1794,4.0
91980,608,2028,4.0
18772,125,1198,4.5
73274,510,1188,2.0
56712,408,342,3.0
58654,426,56367,3.5
5761,30,3649,4.0
16517,105,3141,2.5
36097,262,1663,1.0
37706,270,122920,4.0
93745,624,1374,3.0
75060,520,8784,3.0
53449,387,931,4.0
12390,78,778,4.5
22134,153,170,5.0
167,4,434,4.0
6062,31,50,3.5
15653,102,1673,4.0
73247,510,647,3.0
40915,294,6423,3.5
86428,577,26555,4.5
76791,531,59421,3.5
25323,185,2450,2.0
7699,48,65514,4.0
40270,294,750,3.0
181,4,858,5.0
17547,118,965,3.0
34437,245,3507,4.0
8427,56,3039,1.0
80976,549,2795,4.0
43844,311,2028,5.0
82661,562,41997,3.5
6339,34,556,4.0
